timestamp,price,volume,open,high,low,close
2024-01-01 09:15:00,151.92,508,151.92,151.92,151.92,151.92
2024-01-01 09:16:00,151.12,3693,151.12,151.12,151.12,151.12
2024-01-01 09:17:00,149.08,602,149.08,149.08,149.08,149.08
2024-01-01 09:18:00,148.88,2231,148.88,148.88,148.88,148.88
2024-01-01 09:19:00,145.24,2839,145.24,145.24,145.24,145.24
2024-01-01 09:20:00,149.02,1368,149.02,149.02,149.02,149.02
2024-01-01 09:21:00,154.56,668,154.56,154.56,154.56,154.56
2024-01-01 09:22:00,157.79,142,157.79,157.79,157.79,157.79
2024-01-01 09:23:00,146.74,201,146.74,146.74,146.74,146.74
2024-01-01 09:24:00,148.47,308,148.47,148.47,148.47,148.47
2024-01-01 09:25:00,148.66,390,148.66,148.66,148.66,148.66
2024-01-01 09:26:00,149.24,7201,149.24,149.24,149.24,149.24
2024-01-01 09:27:00,153.31,1120,153.31,153.31,153.31,153.31
2024-01-01 09:28:00,158.94,613,158.94,158.94,158.94,158.94
2024-01-01 09:29:00,153.06,277,153.06,153.06,153.06,153.06
2024-01-01 09:30:00,147.85,949,147.85,147.85,147.85,147.85
2024-01-01 09:31:00,149.18,989,149.18,149.18,149.18,149.18
2024-01-01 09:32:00,147.39,4861,147.39,147.39,147.39,147.39
2024-01-01 09:33:00,148.78,100,148.78,148.78,148.78,148.78
2024-01-01 09:34:00,152.68,3916,152.68,152.68,152.68,152.68
2024-01-01 09:35:00,148.59,5965,148.59,148.59,148.59,148.59
2024-01-01 09:36:00,146.53,197,146.53,146.53,146.53,146.53
2024-01-01 09:37:00,147.96,3923,147.96,147.96,147.96,147.96
2024-01-01 09:38:00,153.54,1917,153.54,153.54,153.54,153.54
2024-01-01 09:39:00,152.19,4291,152.19,152.19,152.19,152.19
2024-01-01 09:40:00,155.46,2042,155.46,155.46,155.46,155.46
2024-01-01 09:41:00,143.18,100,143.18,143.18,143.18,143.18
2024-01-01 09:42:00,146.95,2131,146.95,146.95,146.95,146.95
2024-01-01 09:43:00,150.76,1584,150.76,150.76,150.76,150.76
2024-01-01 09:44:00,149.13,240,149.13,149.13,149.13,149.13
2024-01-01 09:45:00,149.22,7964,149.22,149.22,149.22,149.22
2024-01-01 09:46:00,153.05,6154,153.05,153.05,153.05,153.05
2024-01-01 09:47:00,150.19,6692,150.19,150.19,150.19,150.19
2024-01-01 09:48:00,156.0,6792,156.0,156.0,156.0,156.0
2024-01-01 09:49:00,149.82,776,149.82,149.82,149.82,149.82
2024-01-01 09:50:00,155.68,5914,155.68,155.68,155.68,155.68
2024-01-01 09:51:00,151.82,1620,151.82,151.82,151.82,151.82
2024-01-01 09:52:00,150.58,1235,150.58,150.58,150.58,150.58
2024-01-01 09:53:00,151.22,1097,151.22,151.22,151.22,151.22
2024-01-01 09:54:00,148.96,5351,148.96,148.96,148.96,148.96
2024-01-01 09:55:00,146.32,502,146.32,146.32,146.32,146.32
2024-01-01 09:56:00,152.38,1047,152.38,152.38,152.38,152.38
2024-01-01 09:57:00,151.41,234,151.41,151.41,151.41,151.41
2024-01-01 09:58:00,153.07,415,153.07,153.07,153.07,153.07
2024-01-01 09:59:00,155.48,406,155.48,155.48,155.48,155.48
2024-01-01 10:00:00,149.8,1500,149.8,149.8,149.8,149.8
2024-01-01 10:01:00,154.24,141,154.24,154.24,154.24,154.24
2024-01-01 10:02:00,151.44,309,151.44,151.44,151.44,151.44
2024-01-01 10:03:00,153.41,1697,153.41,153.41,153.41,153.41
2024-01-01 10:04:00,153.04,385,153.04,153.04,153.04,153.04
2024-01-01 10:05:00,149.75,1761,149.75,149.75,149.75,149.75
2024-01-01 10:06:00,154.9,221,154.9,154.9,154.9,154.9
2024-01-01 10:07:00,150.66,3879,150.66,150.66,150.66,150.66
2024-01-01 10:08:00,151.88,1618,151.88,151.88,151.88,151.88
2024-01-01 10:09:00,153.74,1131,153.74,153.74,153.74,153.74
2024-01-01 10:10:00,152.35,3412,152.35,152.35,152.35,152.35
2024-01-01 10:11:00,154.07,621,154.07,154.07,154.07,154.07
2024-01-01 10:12:00,157.34,3411,157.34,157.34,157.34,157.34
2024-01-01 10:13:00,154.03,1540,154.03,154.03,154.03,154.03
2024-01-01 10:14:00,154.02,100,154.02,154.02,154.02,154.02
2024-01-01 10:15:00,154.4,100,154.4,154.4,154.4,154.4
2024-01-01 10:16:00,153.9,1765,153.9,153.9,153.9,153.9
2024-01-01 10:17:00,149.56,1868,149.56,149.56,149.56,149.56
2024-01-01 10:18:00,151.02,2058,151.02,151.02,151.02,151.02
2024-01-01 10:19:00,155.94,1607,155.94,155.94,155.94,155.94
2024-01-01 10:20:00,150.53,687,150.53,150.53,150.53,150.53
2024-01-01 10:21:00,150.49,5418,150.49,150.49,150.49,150.49
2024-01-01 10:22:00,155.64,1496,155.64,155.64,155.64,155.64
